AREA,orientation,n,originalPlace,year
75617300000,l,1,adler,2012
7784290000,l,2,adygeia,2010
101055000000,k,2,azov,2010
177881000000,l,1,akademgorodok,2012
177881000000,k,1,akademgorodok,2011
177881000000,l,1,akademgorodok,2010
29138200000,k,1,aleksandrov,2006
29138200000,l,1,aleksandrov,2009
29138200000,k,1,aleksandrov,2008
92969500000,l,1,altai,2013
92969500000,k,1,altai,2012
92969500000,k,1,altai,2004
92969500000,l,1,altaisk,2008
709138000000,l,1,anadyr',2008
752945000000,k,1,angarsk,2010
45938100000,l,1,aprelevka,2010
1009120000,l,1,arbat,2003
1009120000,k,1,arbat,2010
1009120000,l,2,arbat,2012
1009120000,k,1,arbat,2007
61652100000,l,1,arbatov,2005
61652100000,k,1,arbatov,2012
19253200000,l,1,argun,2004
75617300000,l,1,armavir,2007
307619000000,l,1,arkhangel'sk,2007
307619000000,k,1,arkhangel'sk,2004
307619000000,k,1,arkhangel'sk,2005
61652100000,k,1,assr,2008
50589800000,l,4,astrakhan',2012
50589800000,k,1,astrakhan',2010
50589800000,k,1,astrakhan',2012
52206800000,l,1,bagrationi,2008
752945000000,k,1,baikal'sk,2008
12455100000,l,1,baksan,2011
45938100000,k,1,balashikha,2008
12455100000,l,2,balkariia,2010
12455100000,k,2,balkariia,2005
1.888,k,1,baltiisk,2007
45938100000,l,1,barvikha,2012
45938100000,k,1,barvikha,2011
45938100000,k,1,barvikha,2007
168126000000,l,1,barnaul,2012
168126000000,k,1,barnaul,2007
37242500000,l,1,barysh,2009
37242500000,l,1,barysh,2005
1009120000,l,3,basmannyi,2003
1009120000,k,2,basmannyi,2005
142986000000,l,3,bashkiriia,2005
142986000000,k,1,bashkiriia,2010
142986000000,l,1,bashkortostan,2005
142986000000,k,1,bashkortostan,2010
142986000000,k,1,bashkortostan,2004
27156700000,k,1,belgorod,2007
168126000000,k,1,biisk,2004
35776700000,k,1,birobidzhan,2010
362638000000,l,1,blagoveshchensk,2011
45938100000,k,1,borodino,2005
752945000000,l,2,bratsk,2010
752945000000,k,1,bratsk,2009
34920400000,k,1,briansk,2010
66180200000,l,1,budennovsk,2005
66180200000,l,1,budennovsk,2003
66180200000,k,1,budennovsk,2004
49932100000,l,1,buinaksk,2013
351792000000,l,1,buriatiia,2007
172464000000,l,1,valaam,2010
55092400000,l,4,valdai,2009
55092400000,k,2,valdai,2006
55092400000,k,1,valdai,2009
45938100000,k,1,vereia,2006
143071000000,l,1,vidiaevo,2008
168126000000,k,1,vipa,2010
165229000000,l,1,vladivostok,2008
165229000000,k,1,vladivostok,2010
165229000000,k,1,vladivostok,2006
7998460000,l,1,vladikavkaz,2010
101055000000,k,1,vladimirov,2005
112861000000,k,1,volgograd,2004
112861000000,l,2,volgograd,2013
101055000000,l,1,volgodonsk,2013
145444000000,l,1,vologda,2013
145444000000,k,2,vologda,2005
52206800000,l,1,voronezh,2009
52206800000,k,1,voronezh,2008
52206800000,l,1,voronezh,2004
143071000000,l,2,voron'ia,2010
84212600000,l,1,vsevolozhsk,2008
76790200000,l,1,vyksa,2010
84212600000,k,1,vysotsk,2006
19253200000,l,1,galashki,2012
84212600000,k,1,gatchina,2013
75617300000,l,1,gelendzhik,2011
12404400,l,1,geral'd,2004
12404400,l,1,geral'd,2010
45938100000,k,1,golitsyno,2003
19253200000,l,1,gudermes,2010
19253200000,l,1,gudermes,2004
49932100000,l,4,dagestan,2010
49932100000,k,1,dagestan,2010
49932100000,l,1,dagestan,2011
45938100000,l,3,domodedovo,2011
45938100000,l,1,dubna,2010
45938100000,k,1,dubna,2011
35776700000,k,1,eao,2010
4496400000,k,1,eika,2005
194272000000,l,1,ekaterinburg,2009
194272000000,k,2,ekaterinburg,2008
68035300000,k,1,elabuga,2005
30003900000,k,1,zheleznogorsk,2009
159839000000,l,1,zaikovy,2009
1009120000,l,1,zamoskvorech'e,2010
1009120000,k,1,zamoskvorech'e,2011
194272000000,k,1,zaural'e,2012
45938100000,k,1,zvenigorod,2009
45938100000,k,1,zvenigorod,2006
37361100,l,1,zelenograd,2009
37361100,k,1,zelenograd,2003
88634600000,l,1,zlatoust,2008
88634600000,l,1,zlatoust,2011
88634600000,k,1,zlatoust,2010
45938100000,l,1,ziuzino,2012
145444000000,l,1,ziablikovo,2009
45938100000,l,1,ivanteevka,2004
42104800000,l,1,izhevsk,2008
42104800000,l,1,izhevsk,2006
55256800000,l,1,izborsk,2012
19253200000,l,3,ingushetiia,2004
19253200000,k,1,ingushetiia,2011
19253200000,l,1,ingushetiia,2009
19253200000,k,1,ingushetiia,2004
752945000000,l,3,irkutsk,2010
752945000000,k,1,irkutsk,2004
177881000000,l,1,iskitim,2006
12455100000,l,2,kabardino,2010
12455100000,k,2,kabardino,2005
68035300000,l,2,kazan',2005
68035300000,k,1,kazan',2009
68035300000,l,1,kazan',2011
84212600000,l,1,kalanchevka,2005
84212600000,k,1,kalanchevka,2011
1.888,l,4,kaliningrad,2010
1.888,k,1,kaliningrad,2004
70525800000,l,2,kalmykiia,2010
70525800000,k,1,kalmykiia,2004
29801200000,k,1,kaluga,2013
29801200000,k,1,kaluga,2010
84480900000,l,1,kaliazin,2010
18379500000,l,1,kanash,2009
143071000000,l,1,kandalaksha,2013
143071000000,k,1,kandalaksha,2011
14278500000,l,3,karachaevo,2010
14278500000,k,1,karachaevo,2010
14278500000,l,1,karachaevo,2005
14278500000,k,1,karachaevo,2005
14278500000,l,1,karachaevsk,2012
88634600000,l,1,karachai,2011
172464000000,l,1,kareliia,2004
172464000000,k,1,kareliia,2005
172464000000,l,1,kareliia,2006
39695000000,l,2,kasimov,2012
39695000000,k,2,kasimov,2012
45938100000,k,1,kashira,2006
49932100000,l,2,kizliar,2010
49932100000,k,1,kizliar,2004
21633900000,l,1,kineshma,2005
145444000000,l,1,kirillov,2012
145444000000,k,1,kirillov,2004
120598000000,k,1,kirov,2006
120598000000,k,1,kirov,2005
66180200000,l,1,kislovodsk,2008
45938100000,l,1,klin,2007
45938100000,k,2,klin,2012
534822000000,k,1,kogalym,2010
45938100000,l,1,kolomna,2012
115530000,l,1,kolyma,2007
417593000000,l,1,komi,2011
172464000000,l,8,kondopoga,2006
172464000000,k,3,kondopoga,2011
172464000000,l,1,kondopoga,2007
172464000000,k,1,kondopoga,2006
60248100000,l,1,kostroma,2003
60248100000,k,1,kostroma,2007
75617300000,k,1,krasnodar,2008
413018000000,l,2,krasnokamensk,2007
413018000000,k,1,krasnokamensk,2009
4496400000,l,1,krasnoiarsk,2005
4496400000,k,2,krasnoiarsk,2007
4496400000,l,1,krasnoiarsk,2011
15610900,l,2,kronshtadt,2012
15610900,k,1,kronshtadt,2004
75617300000,l,7,krymsk,2012
128003000000,l,1,kudymkar,2004
177881000000,l,1,kuibyshev,2012
128003000000,l,1,kungur,2007
4496400000,l,1,kuragino,2006
30003900000,l,1,kursk,2009
30003900000,k,1,kursk,2007
30003900000,k,1,kursk,2004
30003900000,k,1,kurchatov,2010
168539000000,l,1,kyzyl,2006
1404590000,l,1,leningrad,2009
1404590000,k,1,leningrad,2012
1404590000,l,1,leningrad,2011
1404590000,k,1,leningrad,2005
84212600000,l,1,lenoblast',2008
24667200000,l,1,livny,2004
24070400000,k,1,lipetsk,2006
24070400000,k,2,lipetsk,2012
84212600000,l,1,luga,2006
84212600000,l,1,luga,2009
84212600000,k,1,luga,2006
120598000000,l,1,luza,2007
75617300000,k,2,liubimov,2006
75617300000,l,1,liubimov,2005
75617300000,k,1,liubimov,2007
1009120000,l,1,liublino,2009
1009120000,k,2,liublino,2012
1009120000,l,1,liublino,2012
462572000000,k,1,magadan,2005
462572000000,l,1,magadan,2012
462572000000,k,1,magadan,2012
88634600000,k,1,magnitogorsk,2011
84480900000,l,1,malyshkova,2010
29801200000,l,1,mamonovo,2007
60248100000,l,1,manturovo,2008
49932100000,l,2,makhachkala,2012
49932100000,k,1,makhachkala,2012
1009120000,l,1,medvedkovo,2011
95796800000,l,1,mezhdurechensk,2010
88634600000,l,1,miass,2012
413018000000,l,1,mogocha,2012
7998460000,k,1,mozdok,2006
26149800000,l,1,mordoviia,2012
26149800000,l,1,mordoviia,2011
1009120000,l,2,moskva,2005
1009120000,k,2,moskva,2009
194272000000,l,2,mrsk,2012
143071000000,l,1,murmansk,2013
45938100000,l,1,mytishchi,2004
677128000000,k,1,nadym,2011
19253200000,l,3,nazran',2009
19253200000,k,1,nazran',2007
19253200000,l,1,nazran',2005
12455100000,l,1,nal'chik,2009
12455100000,k,2,nal'chik,2005
12455100000,l,1,nal'chik,2012
12455100000,k,1,nal'chik,2011
142986000000,l,1,nary,2007
142986000000,k,1,nary,2006
142986000000,k,1,nary,2005
1009120000,l,1,neo,2010
1009120000,l,1,neo,2004
534822000000,l,1,nefteiugansk,2006
68035300000,k,1,nizhnekamsk,2009
55092400000,l,1,novgorod,2007
55092400000,k,1,novgorod,2009
75617300000,k,1,novorossiisk,2010
177881000000,l,1,novosibirsk,2009
177881000000,k,1,novosibirsk,2006
177881000000,l,1,novosibirsk,2012
177881000000,k,1,novosibirsk,2004
101055000000,l,2,novocherkassk,2007
101055000000,k,2,novocherkassk,2009
4496400000,l,1,noril'sk,2009
4496400000,k,1,noril'sk,2006
4496400000,l,1,noril'sk,2003
677128000000,l,1,noiabr'sk,2009
29801200000,k,1,obninsk,2005
141206000000,l,1,omsk,2012
141206000000,k,2,omsk,2012
124242000000,l,1,orenburg,2011
1404590000,k,1,pavlovsk,2011
165229000000,l,1,partizansk,2004
45938100000,k,1,peredelkino,2004
45938100000,k,1,peredelkino,2009
128003000000,l,1,perm',2008
128003000000,l,1,perm',2006
1404590000,l,2,peterburg,2011
1404590000,k,1,peterburg,2011
1404590000,l,1,peterburg,2005
1404590000,k,1,peterburg,2004
1404590000,k,1,petergof,2011
1404590000,l,2,petrograd,2006
1404590000,k,3,petrograd,2007
1404590000,l,1,petrograd,2012
84212600000,l,3,pikalevo,2010
84212600000,l,2,pikalevo,2009
1404590000,l,1,piter,2006
1404590000,k,1,piter,2010
1404590000,l,3,piter,2007
1404590000,k,1,piter,2004
45938100000,k,1,protvino,2011
55256800000,l,1,pskov,2009
55256800000,k,1,pskov,2012
55256800000,k,1,pskov,2007
55256800000,k,1,pskovshchina,2007
55256800000,k,1,pskovshchina,2010
45938100000,l,1,pushkino,2012
66180200000,l,2,piatigorsk,2005
66180200000,k,1,piatigorsk,2010
1009120000,l,1,razumovskii,2010
1404590000,l,1,repino,2009
36156700000,l,1,rybinsk,2010
36156700000,k,1,rybinsk,2004
1009120000,l,1,reu,2007
1009120000,k,1,reu,2010
1009120000,k,1,reu,2012
39695000000,l,1,riazan',2005
39695000000,k,1,riazan',2012
677128000000,l,1,salekhard,2006
677128000000,k,1,salekhard,2007
53541500000,k,1,samara,2007
26149800000,l,1,saransk,2012
101141000000,l,1,saratov,2010
101141000000,l,1,saratov,2008
101141000000,k,1,saratov,2012
26149800000,l,1,sarov,2009
26149800000,k,1,sarov,2009
3035630000000,k,1,sakha,2010
74753800000,l,1,sakhalin,2006
74753800000,l,1,sakhalin,2007
61652100000,l,1,saianogorsk,2011
61652100000,k,1,saianogorsk,2009
194272000000,k,1,sverdlovsk,2013
194272000000,k,1,sverdlovsk,2011
1009120000,k,1,sviblovo,2010
42104800000,k,1,sviatogorskii,2009
75617300000,l,12,severokavkazskii,2010
75617300000,k,1,severokavkazskii,2011
75617300000,l,1,severokavkazskii,2009
75617300000,k,2,severokavkazskii,2004
172464000000,l,1,segezha,2012
45938100000,l,1,senezh,2005
194272000000,k,1,serov,2009
194272000000,l,1,serov,2009
159839000000,l,1,sibir',2005
159839000000,k,1,sibir',2010
159839000000,k,2,sibir',2005
53541500000,l,8,skolkovo,2010
53541500000,k,7,skolkovo,2010
53541500000,l,3,skolkovo,2013
49871500000,l,1,smolensk,2008
49871500000,l,1,smolensk,2010
75617300000,l,2,sochi,2010
75617300000,k,1,sochi,2005
75617300000,l,1,sochi,2009
75617300000,k,1,sochi,2009
66180200000,l,1,stavropol',2007
66180200000,k,1,stavropol',2007
66180200000,k,1,stavropol',2012
112861000000,l,1,stalingrad,2005
112861000000,k,2,stalingrad,2003
112861000000,l,2,stalingrad,2013
112861000000,k,1,stalingrad,2004
1404590000,l,1,strel'na,2008
29138200000,l,1,suzdal',2005
534822000000,l,1,surgut,2011
53541500000,l,1,syzran',2005
417593000000,k,1,syktyvkar,2013
194272000000,l,2,tagil,2012
194272000000,k,1,tagil,2012
4496400000,l,1,taimyr,2008
34463000000,l,1,tambov,2012
34463000000,k,1,tambov,2012
29801200000,k,1,tarusa,2009
29801200000,k,1,tarusa,2004
68035300000,l,2,tatariia,2010
68035300000,l,2,tatarstan,2005
68035300000,k,1,tatarstan,2008
68035300000,l,1,tatarstan,2013
68035300000,k,1,tatarstan,2011
84480900000,k,3,tver',2007
159839000000,l,1,tobol'sk,2012
177881000000,k,1,tolmachevo,2012
53541500000,l,1,tol'iatti,2007
53541500000,k,1,tol'iatti,2003
314507000000,l,1,tomsk,2003
45938100000,l,2,troparevo,2004
75617300000,l,1,tuapse,2010
75617300000,k,1,tuapse,2004
168539000000,l,1,tuva,2010
168539000000,k,1,tuva,2010
168539000000,l,1,tuva,2006
168539000000,k,1,tuva,2009
25714300000,k,1,tula,2009
168539000000,l,1,tyva,2005
168539000000,k,1,tyva,2004
159839000000,l,1,tiumen',2012
159839000000,k,1,tiumen',2010
36156700000,k,1,uglich,2006
42104800000,k,1,udmurtiia,2009
37242500000,k,1,ul'ianovsk,2003
37242500000,l,1,ul'ianovsk,2012
677128000000,l,1,urengoi,2010
677128000000,k,1,urengoi,2011
112861000000,l,1,uriupinsk,2009
112861000000,l,1,uriupinsk,2012
782666000000,k,1,ussuri,2009
145444000000,k,1,ustiug,2006
142986000000,l,2,ufa,2011
142986000000,k,1,ufa,2004
45938100000,l,1,fominsk,2012
21633900000,k,1,furmanov,2005
782666000000,k,1,khabarovsk,2012
61652100000,l,1,khakasiia,2007
61652100000,k,1,khakasiia,2004
49932100000,l,1,khasaviurt,2008
49932100000,k,1,khasaviurt,2005
49932100000,l,1,khasaviurt,2003
45938100000,l,3,khimki,2010
45938100000,k,1,khimki,2012
45938100000,l,1,khimki,2007
45938100000,k,1,khimki,2010
52206800000,k,1,tsusim,2010
18379500000,l,1,cheboksary,2010
18379500000,l,1,cheboksary,2007
12455100000,k,1,chegem,2009
12455100000,l,1,chegem,2006
88634600000,l,1,cheliabinsk,2007
88634600000,k,1,cheliabinsk,2006
88634600000,k,1,cheliabinsk,2005
145444000000,l,1,cherepovets,2005
14278500000,l,3,cherkesiia,2010
14278500000,k,1,cherkesiia,2010
14278500000,l,2,cherkesiia,2005
14278500000,k,1,cherkesiia,2005
14278500000,l,1,cherkessk,2004
14278500000,l,1,cherkessk,2005
45938100000,l,1,chernogolovka,2012
1009120000,k,1,chernozem'e,2003
19253200000,l,14,chechnia,2004
19253200000,k,6,chechnia,2004
19253200000,l,1,chechnia,2012
19253200000,k,1,chechnia,2010
68035300000,l,1,chistopol',2012
413018000000,l,2,chita,2007
18379500000,l,1,chuvashiia,2007
18379500000,k,1,chuvashiia,2008
709138000000,l,1,chukotka,2009
413018000000,l,1,shilka,2005
21633900000,l,1,shuia,2009
70525800000,l,1,elista,2012
12455100000,k,1,el'brus,2008
101141000000,l,1,engel's,2011
101141000000,k,1,engel's,2012
1009120000,l,7,iakimanka,2012
1009120000,k,1,iakimanka,2012
1009120000,k,1,iakimanka,2011
3035630000000,l,1,iakutiia,2004
3035630000000,k,1,iakutiia,2006
3035630000000,k,1,iakutsk,2006
677128000000,l,1,iamal,2006
677128000000,l,1,ianao,2012
159839000000,k,1,iankovy,2003
36156700000,l,2,iaroslavl',2012
36156700000,k,4,iaroslavl',2010
