city,latitude,longitude,pop
Lviv,49.8500,24.0167,760
Kharkiv,50.00,36.2314,1441
Kyiv,50.455,30.524,2797
Dnipropetrovsk,48.45,34.983,1000
Donetsk,48.023,37.802,1000
Odessa,46.4667,30.7333,991
Zaporizhia,47.823,35.19,772
Kryvyi Rih,47.91,33.38,664
Mykolaiv,46.966,31.997,498
Mariupol,47.095,37.541,486
Luhansk,48.5667,39.3000,431
Vinnytsia,49.2331,28.4682,370
Makiivka,48.0833,38.0667,358
Sevastopol,44.60,33.533,340
Simferopol,44.9481,34.1042, 336
Kherson,46.6333,32.5833,302
Chernihiv,51.5000,31.3000,296
Cherkasy,49.444,32.0598,286
Horlivka,48.3000,38.0500,279